 标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
600256,广汇能源,3808029518,262467734,301717071,1604731,1840611,1938983
600257,大湖股份,268719090,19457380,30534205,25900,27700,6500
600259,广晟有色,567894472,48729665,42942612,125550,158710,158410
600260,凯乐科技,143253654,0,1228964,26270,0,0
600261,阳光照明,405410302,73743969,61766866,6400,237486,231086
600266,北京城建,571214771,53553303,43918152,237620,68800,75400
600267,海正药业,720918623,79584780,62108894,223052,168300,191400
600271,航天信息,1692609085,256516290,139586327,403145,333451,351351
600276,恒瑞医药,249985277,26938922,16734926,679356,151502,155689
600277,亿利能源,329213465,32735936,24237421,175807,100100,86100
600285,羚锐制药,415046375,41748728,46263824,41191,0,0
600288,大恒科技,621947071,44868674,67273710,145800,11900,26900
600289,亿阳信通,733977441,82911275,82221133,42800,0,0
600292,中电远达,437331644,69177370,59348929,10000,59980,64380
600293,三峡新材,281251684,16585995,22002987,50428,0,0
600298,安琪酵母,219931222,15967324,21708589,36800,2800,0
600300,维维股份,190703338,23862895,25099018,111000,5400,2200
600309,万华化学,519426742,33613410,45497171,1027670,557331,504875
600311,荣华实业,174468859,22225428,14187828,43100,49800,52800
600312,平高电气,918497530,112978152,97592939,113549,64800,56600
600315,上海家化,829907150,129485393,124243336,233685,681605,735881
600316,洪都航空,1428156214,688779517,412295775,230100,461050,487950
600318,巢东股份,182691014,18699546,13046700,18500,0,0
600321,国栋建设,258081586,23366808,19169626,67500,30000,30000
600325,华发股份,566519721,27183513,32816765,80600,63800,76500
600329,中新药业,314238799,18794116,20569818,8793,1593,1400
600332,白云山,1634059055,125382093,194506889,222623,292113,304413
600333,长春燃气,183454878,16522629,18624787,44300,7600,5500
600336,澳柯玛,222713273,31392313,19106013,66500,4900,4900
600340,华夏幸福,847203677,80790232,68835120,507944,336322,303422
600348,阳泉煤业,417232043,51534446,62410341,380907,1486700,1506499
600352,浙江龙盛,2133661163,282956572,241285817,150265,1468148,1471202
600354,敦煌种业,296278204,24186693,19757129,31500,0,5600
600362,江西铜业,758779163,129049708,118191303,788201,2577182,2506370
600366,宁波韵升,433739248,29046259,26477615,24750,25800,29200
600369,西南证券,455087243,38148842,55080094,748262,804690,807018
600372,中航电子,1108729759,114077931,129809792,260953,151964,174664
600373,中文传媒,557412349,48006105,60340019,8400,13200,13200
600375,华菱星马,696754537,65557697,61872454,6600,0,18300
600376,首开股份,572613583,46590958,31260754,596101,205800,241034
600383,金地集团,243895591,20669261,14709218,4435666,1183504,653323
600387,海越股份,659858436,36613540,42186225,1000,0,10000
600388,龙净环保,585220442,0,23894928,9600,0,0
600389,江山股份,235029414,21086946,18380882,18800,0,0
600390,金瑞科技,679731264,52034406,56739755,20000,19300,19300
600392,盛和资源,377948490,34386859,40432278,11900,37000,37000
600395,盘江股份,332540225,28917978,45129722,181618,1263315,1266715
600406,国电南瑞,1871238603,556993175,469463424,611119,2920589,2852200
600408,安泰集团,136294363,8964207,12175141,121771,0,0
600410,华胜天成,866834248,109998315,146970475,28800,63700,56400
600415,小商品城,382417711,58391398,40980186,622815,653600,594795
600418,江淮汽车,1030598181,71697808,74440528,313114,211199,205800
600422,昆明制药,266687647,16042758,14528894,27500,5000,4000
600425,青松建化,369613248,24763168,33585564,83800,115000,115000
600426,华鲁恒升,524301014,49232599,40784755,73200,0,4400
600433,冠豪高新,1514309906,120751026,79190752,2800,52900,52800
600435,北方导航,1487952427,233101908,224755784,112633,258100,256700
600436,片仔癀,347813070,33865924,33599959,49174,7500,11700
600446,金证股份,521213606,20973466,30405143,6800,56045,56045
600449,宁夏建材,267805375,24905597,26384027,31400,1500,1500
600456,宝钛股份,375253632,46908658,31672008,105364,10400,10598
600458,时代新材,394712095,74538298,53617876,37300,3200,8100
600460,士兰微,391417012,39982907,48838570,21200,120200,120200
600467,好当家,228056984,14381137,16642851,83700,14600,18500
600470,六国化工,216600058,29906374,29332814,40000,0,400
600478,科力远,1212869519,54226737,43113365,55999,0,0
600481,双良节能,447247782,30421438,39615156,12800,10500,10500
600483,福建南纺,190573719,10506140,14038431,43400,18200,18200
600486,扬农化工,236792978,8953702,14205688,1300,0,0
600489,中金黄金,565439048,62077509,55451553,789743,511100,569900
600490,鹏欣资源,1856368832,176761290,143309085,155799,2300,2600
600491,龙元建设,128730630,12982308,13527065,154500,24600,25600
600495,晋西车轴,695101634,71569794,82950674,53540,95920,91820
600497,驰宏锌锗,394635140,0,12599012,235500,0,0
600498,烽火通信,573638769,28383957,50302730,280388,172288,134200
600499,科达洁能,1394657333,63459564,56213894,28700,7300,3000
600502,安徽水利,374823838,106675829,89802034,18700,321500,327500
600503,华丽家族,747918310,124467029,131247223,108100,739100,727100
600515,海岛建设,352948334,100263845,82219653,25300,212896,211896
600516,方大炭素,1188917119,189403732,184627848,526180,1492532,1494897
600517,置信电气,605705526,80938240,51259578,35600,131000,129000
600518,康美药业,2371040369,93615846,113321927,1179860,518667,579121
600519,贵州茅台,1186358107,58764326,91269299,609298,164959,128316
600521,华海药业,294299952,35747913,22118951,23000,12000,12300
600522,中天科技,1028928533,76024388,92817972,27300,0,0
600528,中铁二局,290269260,23203687,29545439,352600,145500,106200
600535,天士力,558421307,34597039,25677903,551022,44400,71000
600537,亿晶光电,562340519,124431197,159346776,24050,120100,118100
600543,莫高股份,198630649,9230257,16710172,96500,500,0
600545,新疆城建,519027410,50914172,65294701,61000,478784,512484
600546,山煤国际,415732588,34574025,47442561,310500,712848,689148
600547,山东黄金,303809597,0,9156928,429256,0,0
600549,厦门钨业,871108459,77539676,66043623,324665,297114,298614
600551,时代出版,546896109,66085072,67364966,15000,14300,14300
600557,康缘药业,326030949,35373571,25403869,43940,2000,1480
600559,老白干酒,45251687,7113352,10160766,21400,700,1700
600566,洪城股份,84050845,6418424,4291534,13509,8300,9400
600568,中珠控股,501722539,75112926,70457519,65100,49100,52400
600570,恒生电子,1498666445,95156910,88705611,4500,57000,57000
600572,康恩贝,240120847,24934733,29219107,14600,1000,0
600580,卧龙电气,230014969,13455117,22530105,35200,23600,54100
600582,天地科技,682670884,136254139,94963027,140800,203700,181300
600583,海油工程,1154151905,150398455,193213219,753042,2910670,2892870
600584,长电科技,423751491,139405777,84275176,109912,92800,92500
600585,海螺水泥,1374970825,105421162,108682491,1184512,339698,330029
600588,用友软件,867465427,58458855,100624888,265536,139368,199468
600594,益佰制药,262212718,34542844,23777003,20200,4800,3400
600596,新安股份,488884414,35319936,42320943,27900,800,17800
600597,光明乳业,399652135,65327112,89624677,232659,356154,366654
600600,青岛啤酒,586234273,7898002,17465201,240741,27900,24299
600601,方正科技,521331687,34271377,43149001,55700,30000,30000
600606,金丰投资,332208344,22871867,24986151,24700,4000,17600
600609,金杯汽车,171249467,15395540,14219442,34400,125400,125400
600611,大众交通,581893330,62954639,45430894,6700,180400,180400
600614,鼎立股份,326373420,81960327,80031402,32100,46100,50400
600616,金枫酒业,224984249,28151983,20977535,33400,16500,37500
600620,天宸股份,349499846,39583536,55389832,3800,12700,10700
600624,复旦复华,599025687,89677497,55891401,32300,16100,16500
600633,浙报传媒,1551384963,275621644,276278597,184000,932488,932288
600636,三爱富,562388132,71456255,60867747,38600,36700,31100
600637,百视通,1372297797,0,38375913,226877,0,0
600640,号百控股,681338000,55371240,63407073,23000,33300,36300
600642,申能股份,441212201,19152222,17113753,850010,370700,156200
600643,爱建股份,694787050,82552322,72194925,28600,461800,461300
600644,乐山电力,260239438,19382341,11799755,48800,0,0
600645,中源协和,1322372682,144660672,120512973,24443,43789,39989
600648,外高桥,647068687,150152286,150568306,93953,338900,337400
600649,城投控股,601739680,43888984,35440753,714816,161300,283611
600654,飞乐股份,648846290,35452516,42836492,38700,3000,0
600655,豫园商城,314992714,30748469,18761323,683529,46600,48800
600660,福耀玻璃,447153931,18518910,30296331,1439589,77500,108058
600663,陆家嘴,354204336,54239150,41979000,52053,659880,618180
600664,哈药股份,324098100,40974119,35507704,763570,566850,580651
600667,太极实业,543609474,74366326,49749603,49500,20000,20000
600668,尖峰集团,481419520,41001023,43071751,69300,4600,3700
600674,川投能源,1865138742,89853492,92960393,1843693,751824,796114
600675,中华企业,522012800,34865662,50393088,171640,177900,175900
600684,珠江实业,270110990,32196595,25581003,7000,1900,900
600688,上海石化,536522475,63545290,76163413,905400,1304900,1254300
600690,青岛海尔,968046234,23652494,43776986,1379434,803905,837540
600692,亚通股份,321688860,33168910,33873988,54699,97800,93300
600694,大商股份,828679715,45419761,37568232,79031,23495,18300
600696,多伦股份,428108016,32656849,37818536,45600,89958,97058
600699,均胜电子,384408256,46786067,26452397,21251,62964,66106
600702,沱牌舍得,400053115,38565752,47806868,43701,92201,71100
600703,三安光电,1557259562,125425819,117728601,597281,306850,266094
600705,中航资本,1170605250,0,17348798,147198,0,0
600711,盛屯矿业,1030592314,346432042,283532329,50500,300,0
600718,东软集团,889144553,100972266,118035050,123301,47700,49300
600720,祁连山,374077884,32457234,36330794,25,22900,25900
600728,佳都科技,394977444,51921213,51161883,6800,0,0
600739,辽宁成大,1671263647,0,16969465,1039395,0,0
600740,山西焦化,75472222,0,2315475,97165,0,0
600741,华域汽车,474626059,32023947,86385781,1390978,1505613,1098772
600742,一汽富维,462357844,43844726,58200628,49626,127600,124900
600743,华远地产,178490939,21777647,17172368,71200,0,0
600744,华银电力,52638316,0,1278073,1500,0,0
600747,大连控股,762955505,50180684,34297171,111800,53100,68000
600748,上实发展,405353097,22641793,22727133,117700,191300,205801
600750,江中药业,206858283,10933977,10392227,25000,0,11000
600751,天津海运,318661540,87910031,66498852,38800,435400,435400
